Employer_No,Cash_Received_Date,Total_Amt
100406,2017-09-01,3308.67
100532,2017-09-21,426.43
100432,2017-11-06,678.0
100396,2017-08-03,11375.0
100705,2017-09-11,1312.38
100932,2017-09-08,594.38
100365,2018-04-17,222.34
100518,2017-07-26,488.14
100408,2017-07-08,209.95
100410,2017-07-24,451.25
100723,2018-03-20,51.79
100254,2017-12-06,1099.19
100705,2018-10-19,972.85
100932,2018-11-05,652.33
100827,2018-11-22,250.61
100942,2018-09-12,3870.0
100408,2018-11-23,205.42
100044,2018-09-13,541.5
100254,2018-10-12,604.08
100881,2017-11-02,1403.14
100076,2017-10-11,1872.24
100406,2017-09-29,2704.07
100507,2017-07-03,919.62
100438,2017-08-01,2350.33
100705,2018-05-17,922.85
100408,2018-06-16,223.3
100410,2018-05-17,208.05
100083,2018-03-19,805.0
100254,2018-05-21,984.83
100187,2018-04-27,273.6
100685,2017-10-13,61.5
100183,2017-08-14,5230.0
100367,2017-08-30,519.84
100396,2018-07-04,8580.0
100390,2018-08-15,7311.98
100390,2018-08-15,185.45
100390,2018-09-03,70.57
100367,2018-05-31,468.9
100396,2018-07-04,205.0
100396,2018-07-04,1820.0
100404,2017-11-13,2220.76
100138,2018-04-30,6115.62
100390,2018-01-25,201.04
100590,2018-06-07,2175.52
100183,2018-03-26,7010.0
100105,2018-05-07,555.92
100444,2018-06-04,453.25
100396,2018-06-07,11705.0
100390,2018-06-19,6504.0
100390,2018-06-19,914.17
100404,2018-06-19,2727.2
100390,2018-05-16,5365.76
100183,2017-10-18,6000.0
100521,2017-12-12,728.0
100297,2017-11-14,365.87
100438,2018-02-05,1703.84
100932,2018-03-05,652.33
100532,2017-11-21,527.06
100404,2017-12-19,2244.18
100396,2018-06-07,205.0
100404,2018-07-31,1910.65
100406,2018-08-07,2117.19
100324,2018-10-02,651.44
100406,2018-10-17,2604.91
100532,2018-10-19,284.9
100505,2018-03-13,444.13
100105,2018-03-06,555.92
100995,2018-10-22,127.1
100297,2018-11-09,490.31
100396,2018-11-07,11425.0
100509,2017-09-08,425.26
100505,2017-10-10,421.56
100297,2017-10-12,388.74
100396,2017-10-12,8925.0
100254,2017-11-06,1270.72
100390,2017-09-25,5812.56
100404,2018-04-11,1796.93
100521,2018-04-17,763.0
100390,2017-09-15,243.9
100675,2018-07-06,1301.48
100185,2018-12-10,800.84
100185,2018-12-10,433.8
100185,2018-12-10,934.32
100185,2018-09-10,939.03
100185,2018-09-10,1084.45
100185,2018-09-10,403.45
100185,2018-09-10,917.65
100185,2018-06-08,917.65
100185,2018-06-08,917.65
100185,2018-06-08,1218.4
100747,2018-09-20,4784.53
100023,2018-09-05,855.0
100122,2018-11-29,500.0
100185,2018-09-10,537.49
100675,2018-03-21,1039.68
100052,2018-10-16,862.68
100722,2018-12-10,2688.96
100692,2018-10-31,1007.52
100122,2018-11-29,500.0
100185,2018-11-08,917.65
100436,2017-07-27,1492.14
100200,2018-06-21,1330.0
100722,2018-09-05,2683.98
100240,2018-05-28,533.9
100615,2018-07-11,13316.26
100090,2018-06-08,373.63
100345,2018-07-30,2367.4
100867,2018-06-28,8284.77
100592,2018-07-03,400.42
100937,2018-06-21,1108.34
100867,2018-08-22,8222.72
100975,2017-07-17,1641.6
100023,2018-08-10,684.0
100122,2018-11-23,500.0
100185,2018-08-21,734.12
100269,2018-08-30,250.0
100692,2018-08-07,549.09
100887,2018-08-28,942.4
100516,2018-08-01,538.74
100135,2018-08-15,1634.0
100887,2018-10-23,824.6
100135,2018-10-15,2041.08
100516,2018-10-31,444.6
100185,2018-08-21,918.39
100185,2018-08-21,974.72
100185,2018-08-21,734.12
100185,2018-08-21,734.12
100185,2018-08-21,734.12
100185,2018-08-21,867.56
100104,2018-12-03,1690.67
100904,2017-07-31,142.5
100185,2018-05-11,734.12
100023,2018-05-16,801.0
100122,2018-05-23,500.0
100185,2018-05-10,974.72
100269,2018-06-04,250.0
100887,2018-05-23,471.2
100516,2018-05-03,556.98
100090,2018-05-09,457.38
100336,2018-04-26,244.3
100657,2018-12-17,190.0
100240,2018-12-24,421.5
100269,2018-12-31,240.0
100435,2018-12-05,507.86
100269,2017-12-27,250.0
100692,2017-12-01,375.87
100615,2017-12-18,13935.83
100516,2018-07-16,932.71
100867,2018-08-22,215.32
100284,2018-09-10,87.21
100023,2018-03-15,822.0
100722,2018-05-01,2480.86
100692,2018-03-06,422.19
100615,2018-04-11,12439.95
100937,2018-05-08,249.98
100867,2018-03-26,7952.76
100090,2018-03-09,374.83
100407,2018-02-23,500.0
100200,2018-11-21,874.0
100135,2018-11-15,760.0
100937,2017-09-11,554.17
100023,2017-09-04,1075.0
100675,2017-09-15,957.22
100887,2017-07-27,410.4
100042,2017-08-01,360.66
100345,2017-08-03,2087.85
100122,2018-02-15,500.0
100185,2018-02-27,4339.12
100747,2018-04-19,4277.08
100023,2018-04-16,1090.0
100122,2018-04-06,500.0
100200,2018-04-30,1330.0
100722,2018-05-01,2311.45
100240,2018-04-04,533.9
100939,2018-07-03,768.77
100749,2018-06-26,2557.08
100121,2018-07-09,6187.16
100752,2018-07-23,692.44
100284,2017-08-11,82.77
100104,2017-08-31,1561.32
100592,2017-08-08,428.64
100747,2018-05-18,4556.56
100065,2018-07-05,10000.0
100592,2018-05-10,427.12
100937,2018-05-08,1662.51
100867,2018-05-21,11804.03
100675,2018-05-16,576.86
100675,2018-05-16,874.76
100435,2018-06-04,399.64
100380,2018-03-29,350.32
100692,2018-07-10,334.31
100657,2018-08-02,190.0
100200,2018-07-12,1330.0
100752,2018-10-22,1884.96
100039,2018-09-14,548.75
100200,2018-11-06,874.0
100336,2018-10-05,244.3
100035,2018-11-02,1047.68
100975,2018-07-03,1498.08
100039,2017-08-11,1114.25
100122,2017-08-24,500.0
100185,2017-09-07,834.2
100269,2017-09-18,250.0
100692,2017-09-08,303.1
100722,2017-09-07,3205.07
100615,2017-09-08,12601.74
100975,2017-11-07,456.0
100592,2017-09-05,433.01
100975,2017-10-05,623.2
100975,2017-10-05,722.0
100042,2018-05-01,928.0
100039,2018-03-15,527.68
100104,2018-05-03,1670.16
100121,2017-07-12,6000.3
100675,2017-12-22,516.99
100722,2018-09-05,2569.61
100615,2018-08-23,11956.84
100294,2018-07-20,1719.5
100853,2018-07-13,535.47
100435,2018-11-09,463.46
100435,2018-10-29,463.47
100284,2018-11-26,49.26
100887,2018-11-27,824.6
100615,2018-12-07,9637.59
100516,2018-11-20,609.8
100937,2017-08-04,554.17
100692,2017-08-09,273.87
100692,2018-05-04,486.32
100692,2018-02-06,366.54
100065,2017-08-23,530.8
100284,2018-07-23,85.6
100104,2018-07-04,1569.74
100407,2018-06-26,10500.0
100052,2018-07-31,676.29
100336,2018-11-12,252.45
100065,2018-11-30,1919.18
100675,2017-10-17,253.27
100032,2017-09-27,246.0
100747,2017-09-08,46236.35
100747,2018-11-29,376.42
100747,2018-11-29,188.21
100747,2018-11-29,188.21
100747,2018-11-29,188.21
100675,2018-02-20,548.72
100032,2018-03-09,541.0
100937,2018-06-21,473.8
100042,2018-08-28,1035.92
100675,2018-02-20,199.5
100675,2017-09-15,144.4
100032,2017-11-10,363.0
100380,2018-08-30,5631.95
100615,2018-09-26,11103.22
100294,2018-08-20,3065.33
100675,2018-08-09,1779.82
100065,2018-08-24,1026.82
100380,2018-11-29,8374.55
100867,2018-12-20,224.89
100675,2018-06-14,1408.75
100413,2018-02-16,1805.65
100692,2017-11-06,370.0
100937,2017-11-03,1108.34
100867,2017-11-21,14100.31
100380,2018-07-03,6182.8
100752,2017-07-21,557.63
100240,2018-07-03,800.85
100269,2018-11-01,200.0
100722,2018-12-10,2461.61
100692,2018-10-04,847.59
100336,2018-03-09,228.0
100269,2018-03-26,250.0
100104,2017-10-03,1773.95
100090,2017-09-11,406.51
100294,2017-09-21,4183.96
100380,2017-10-04,6629.24
100537,2017-09-01,559.55
100336,2017-09-05,252.5
100692,2017-07-07,396.6
100722,2017-09-07,2785.82
100615,2017-07-19,11643.87
100516,2017-07-04,562.78
100537,2017-07-03,559.55
100975,2017-09-04,923.4
100592,2017-07-17,416.44
100937,2017-07-10,3325.02
100615,2017-11-22,10406.32
100090,2017-11-09,486.42
100294,2017-11-20,4238.58
100380,2018-09-06,2012.42
100692,2018-09-05,343.55
100200,2018-09-24,1330.0
100516,2018-09-20,803.98
100336,2018-09-06,252.45
100867,2018-12-21,9257.29
100023,2017-10-11,915.0
100122,2017-10-03,500.0
100185,2017-10-02,700.74
100380,2017-11-02,1173.11
100537,2017-10-11,447.64
100867,2018-12-21,413.71
100749,2018-04-23,93.43
100121,2018-04-24,3864.99
100692,2018-04-04,483.18
100657,2018-05-01,190.0
100615,2018-04-24,12888.92
100336,2018-04-11,252.5
100975,2018-06-26,2247.12
100592,2018-04-20,532.0
100407,2018-05-14,500.0
100122,2017-08-24,500.0
100185,2017-08-02,303.65
100269,2017-08-25,250.0
100749,2017-10-24,2836.99
100090,2017-08-09,441.22
100294,2017-08-22,4183.96
100380,2017-08-31,6248.35
100537,2017-08-01,435.86
100377,2018-05-02,48.42
100039,2017-10-11,523.45
100380,2018-01-29,2608.56
100380,2018-01-29,190.99
100269,2018-04-11,250.0
100284,2018-05-01,682.73
100867,2018-04-26,8432.44
100345,2017-11-02,1761.36
100435,2017-09-12,94.36
100269,2017-11-13,250.0
100284,2017-11-17,338.13
100749,2018-01-23,218.23
100887,2017-11-20,440.8
100345,2018-01-23,2248.13
100042,2018-02-27,880.25
100675,2018-12-13,384.48
100904,2018-10-29,488.49
100185,2018-10-05,433.8
100185,2018-10-05,1359.26
100185,2018-10-05,1225.8
100206,2018-10-22,346.56
100722,2018-09-05,2536.25
100240,2018-08-29,533.9
100615,2018-11-06,11737.58
100887,2018-09-20,824.6
100294,2018-09-21,3065.33
100853,2018-09-21,775.84
100380,2018-09-06,5522.44
100318,2018-09-05,1246.78
100327,2018-07-03,606.35
100576,2018-11-12,683.59
100384,2018-11-29,4978.37
100318,2018-11-06,1558.4
100208,2018-10-30,1667.61
100091,2018-11-05,239.4
100384,2018-06-11,4062.81
100208,2018-06-22,2047.08
100192,2017-07-28,338.92
100304,2018-07-16,515.84
100037,2018-08-06,633.33
100318,2018-08-14,1398.12
100304,2018-08-13,779.78
100956,2018-07-31,653.4
100576,2018-09-06,371.54
100956,2018-09-25,653.4
100260,2017-07-28,657.68
100276,2018-04-11,918.57
100276,2018-04-11,2872.77
100276,2018-04-11,76.0
100318,2018-04-27,1223.22
100956,2018-04-30,631.76
100036,2018-05-17,532.0
100372,2018-05-25,437.0
100551,2018-05-17,8383.1
100520,2018-11-19,284.16
100840,2017-11-28,475.0
100809,2017-12-19,2749.16
100778,2018-02-19,2272.02
100304,2017-12-11,307.3
100551,2018-09-13,26.84
100433,2018-08-08,1067.8
100433,2018-08-08,418.76
100596,2018-07-19,328.86
100596,2018-07-19,562.5
100571,2018-03-29,4530.7
100208,2018-03-19,1566.45
100671,2018-04-16,540.77
100037,2018-04-23,633.33
100007,2018-04-17,279.3
100037,2018-10-25,633.33
100520,2017-08-07,830.67
100069,2017-12-13,1158.05
100057,2017-07-04,919.13
100318,2018-03-07,1223.22
100384,2018-04-30,2035.49
100809,2018-04-17,4585.2
100118,2018-07-18,1557.59
100571,2017-09-18,1662.28
100276,2018-05-02,3045.25
100192,2018-01-24,789.54
100384,2018-07-05,3023.02
100001,2018-09-11,311.13
100528,2018-11-23,2319.9
100192,2018-10-26,190.52
100778,2018-10-25,2042.25
100571,2018-10-25,3611.06
100327,2018-07-02,778.85
100318,2017-09-13,1619.74
100778,2017-10-12,2797.6
100304,2017-09-18,340.81
100037,2017-09-20,633.33
100571,2018-04-26,4677.71
100809,2017-08-01,2337.65
100001,2018-07-09,275.72
100069,2018-05-15,959.08
100036,2018-07-25,532.0
100372,2018-07-05,437.0
100208,2018-07-04,1664.41
100809,2018-07-18,1869.84
100069,2018-09-20,346.56
100809,2018-08-14,2064.78
100384,2018-10-03,95.0
100671,2018-10-03,584.61
100809,2018-08-14,683.05
100809,2018-08-14,263.7
100809,2018-07-18,546.44
100417,2018-10-24,1632.1
100840,2018-11-02,936.98
100384,2018-11-01,275.5
100956,2018-10-23,653.4
100283,2017-08-21,371.45
100149,2017-07-25,164.67
100093,2018-06-29,1688.16
100304,2017-08-11,259.58
100840,2018-05-29,475.0
100304,2018-06-11,620.25
100809,2018-05-18,1229.49
100037,2018-11-30,633.33
100433,2018-05-22,1661.44
100304,2018-02-12,826.77
100118,2018-02-15,533.27
100037,2017-09-20,633.33
100571,2018-07-25,3566.31
100956,2018-07-02,947.64
100869,2018-07-04,46.84
100576,2018-07-16,509.01
100314,2018-07-16,9.2
100091,2018-08-24,299.25
100283,2018-09-13,1859.1
100384,2018-08-24,3478.78
100936,2018-07-26,1802.28
100704,2018-08-09,307.8
100726,2018-10-04,43303.58
100840,2018-08-30,884.93
100994,2018-12-05,2143.32
100007,2018-04-17,266.0
100936,2018-11-01,1802.28
100036,2018-11-13,1258.56
100372,2018-12-11,456.0
100809,2017-10-23,2039.22
100840,2017-10-10,190.0
100576,2017-09-07,371.54
100283,2018-12-27,1919.75
100840,2018-12-27,299.62
100936,2017-08-10,950.0
100276,2017-07-10,2256.43
100276,2017-07-10,76.0
100007,2018-04-17,123.03
100576,2018-02-12,185.77
100276,2018-01-31,2241.6
100276,2018-01-31,76.0
100337,2018-08-03,585.21
100057,2018-07-04,4930.58
100869,2018-05-17,173.61
100840,2018-04-24,475.0
100840,2017-10-25,548.08
100840,2018-11-26,475.0
100276,2018-06-29,3043.96
100433,2018-10-22,4742.72
100036,2018-08-09,532.0
100372,2018-08-27,893.0
100208,2018-10-03,1691.0
100037,2018-08-06,633.33
100327,2018-09-06,1504.66
100384,2018-11-01,4219.81
100840,2018-09-06,989.04
100596,2018-10-19,3300.03
100994,2018-12-05,2386.48
100327,2018-07-03,1152.29
100118,2019-01-04,1036.99
100007,2017-07-31,576.75
100007,2017-07-31,805.27
100007,2017-07-31,501.41
100809,2017-09-26,683.05
100314,2017-10-31,202.13
100551,2018-01-24,418.86
100936,2017-10-05,950.0
100936,2018-11-29,1802.28
100192,2018-07-26,788.67
100571,2018-02-26,1224.32
100304,2017-11-07,228.22
100118,2017-11-08,974.85
100036,2017-10-26,501.29
100069,2018-07-16,474.24
100551,2018-07-13,5548.2
100704,2018-07-12,1206.71
100782,2018-07-24,238.35
100372,2018-10-22,456.0
100304,2018-10-08,479.28
100576,2018-03-09,371.54
100372,2018-03-22,437.0
100384,2018-03-09,2706.71
100571,2017-09-29,2275.51
100069,2017-09-14,575.0
100036,2017-09-14,665.0
100372,2017-09-19,437.0
100208,2017-09-11,2739.77
100551,2017-09-07,6250.0
100304,2017-07-07,270.75
100118,2017-07-12,454.85
100036,2017-07-05,532.0
100372,2017-09-15,437.0
100551,2017-07-05,4906.0
100971,2018-07-30,859.45
100726,2018-05-09,25000.0
100208,2017-11-09,1898.32
100037,2017-10-24,633.33
100433,2018-11-20,231.04
100551,2018-09-13,7275.23
100809,2018-09-18,3511.3
100869,2018-04-17,102.23
